SubscriberKey,EmailAddress,Status,Country,Source,DateCreated
L219,lead219@example.com,Active,DE,organic,2023-12-26 08:25:00+0000
L220,lead220@example.com,Unsubscribed,US,webform,2023-02-05 21:57:00+0000
L221,lead221@example.com,Active,NG,webform,2023-04-25 17:47:00+0000
L222,lead222@example.com,Active,DE,event,2023-09-27 04:27:00+0000
L223,lead223@example.com,Active,US,webform,2023-05-24 00:50:00+0000
L224,lead224@example.com,Active,BR,webform,2023-02-12 21:05:00+0000
L225,lead225@example.com,Unsubscribed,JP,referral,2023-10-29 11:41:00+0000
L226,lead226@example.com,Unsubscribed,GB,organic,2023-08-03 23:27:00+0000
L227,lead227@example.com,Active,BR,event,2023-05-27 03:33:00+0000
L228,lead228@example.com,Active,GB,event,2023-01-20 02:01:00+0000
L229,lead229@example.com,Active,JP,ads,2023-02-25 06:22:00+0000
L230,lead230@example.com,Unsubscribed,IN,referral,2023-04-07 00:00:00+0000
L231,lead231@example.com,Active,NG,organic,2023-01-26 04:55:00+0000
L232,lead232@example.com,Active,US,referral,2023-07-24 01:53:00+0000
L233,lead233@example.com,Active,IN,referral,2023-04-24 01:11:00+0000
L234,lead234@example.com,Unsubscribed,US,event,2023-05-28 07:19:00+0000
L235,lead235@example.com,Unsubscribed,BR,organic,2023-05-26 11:42:00+0000
L236,lead236@example.com,Active,IN,referral,2023-08-25 05:05:00+0000
L237,lead237@example.com,Active,BR,event,2023-02-06 12:35:00+0000
L238,lead238@example.com,Unsubscribed,JP,organic,2023-05-17 08:06:00+0000
L239,lead239@example.com,Active,GB,referral,2023-09-17 09:09:00+0000
L240,lead240@example.com,Active,GB,organic,2023-12-04 01:52:00+0000
L241,lead241@example.com,Active,IN,organic,2023-03-06 01:17:00+0000
L242,lead242@example.com,Unsubscribed,JP,organic,2023-12-04 00:48:00+0000
L243,lead243@example.com,Active,JP,event,2023-07-05 00:51:00+0000
L244,lead244@example.com,Active,US,organic,2024-02-05 12:45:00+0000
L245,lead245@example.com,Active,US,event,2023-01-23 13:47:00+0000
L246,lead246@example.com,Active,GB,referral,2023-03-18 15:19:00+0000
L247,lead247@example.com,Active,DE,event,2023-09-14 20:57:00+0000
L248,lead248@example.com,Active,IN,referral,2023-02-01 09:42:00+0000
L249,lead249@example.com,Unsubscribed,BR,ads,2023-08-04 20:20:00+0000
L250,lead250@example.com,Active,SE,referral,2023-03-10 10:29:00+0000
L251,lead251@example.com,Active,SE,event,2023-11-23 14:33:00+0000
L252,lead252@example.com,Active,DE,webform,2023-03-14 16:45:00+0000
L253,lead253@example.com,Active,IN,organic,2023-12-01 22:14:00+0000
L254,lead254@example.com,Active,SE,referral,2023-01-13 23:16:00+0000
L255,lead255@example.com,Active,JP,referral,2023-03-03 06:22:00+0000
L256,lead256@example.com,Active,BR,referral,2023-08-01 10:51:00+0000
L257,lead257@example.com,Active,IN,referral,2023-06-16 15:52:00+0000
L258,lead258@example.com,Active,GB,ads,2023-06-13 23:31:00+0000
L259,lead259@example.com,Active,US,webform,2024-01-24 03:21:00+0000
L260,lead260@example.com,Active,BR,event,2024-02-01 14:43:00+0000
L261,lead261@example.com,Active,NG,referral,2023-08-16 17:23:00+0000
L262,lead262@example.com,Active,SE,event,2023-09-07 14:54:00+0000
L263,lead263@example.com,Active,DE,referral,2023-12-02 09:35:00+0000
L264,lead264@example.com,Active,DE,webform,2024-01-20 12:31:00+0000
L265,lead265@example.com,Active,GB,organic,2023-10-15 03:22:00+0000
L266,lead266@example.com,Active,US,organic,2023-12-09 01:38:00+0000
L267,lead267@example.com,Unsubscribed,DE,event,2023-11-26 10:40:00+0000
L268,lead268@example.com,Active,US,event,2023-07-29 00:35:00+0000
L269,lead269@example.com,Active,BR,webform,2023-10-18 01:27:00+0000
L270,lead270@example.com,Active,DE,event,2023-10-10 04:28:00+0000
L271,lead271@example.com,Active,BR,event,2023-09-14 20:53:00+0000
L272,lead272@example.com,Active,DE,event,2023-05-12 16:31:00+0000
L273,lead273@example.com,Active,GB,webform,2023-01-19 08:07:00+0000
L274,lead274@example.com,Active,SE,ads,2023-12-21 10:31:00+0000
L275,lead275@example.com,Active,IN,webform,2023-04-06 10:51:00+0000
L276,lead276@example.com,Unsubscribed,IN,referral,2023-10-28 06:51:00+0000
L277,lead277@example.com,Active,US,referral,2023-08-25 08:50:00+0000
L278,lead278@example.com,Active,IN,webform,2023-07-25 18:51:00+0000
L279,lead279@example.com,Unsubscribed,NG,webform,2024-01-08 21:09:00+0000
L280,lead280@example.com,Active,IN,organic,2023-01-06 13:34:00+0000
L281,lead281@example.com,Active,NG,referral,2023-10-10 12:46:00+0000
L282,lead282@example.com,Active,BR,referral,2023-12-12 22:52:00+0000
L283,lead283@example.com,Active,NG,webform,2023-01-21 12:28:00+0000
L284,lead284@example.com,Active,IN,webform,2024-02-05 22:21:00+0000
L285,lead285@example.com,Active,BR,referral,2023-03-16 22:33:00+0000
L286,lead286@example.com,Unsubscribed,SE,referral,2023-12-04 17:39:00+0000
L287,lead287@example.com,Active,SE,organic,2023-07-28 12:15:00+0000
L288,lead288@example.com,Active,NG,event,2023-02-20 16:54:00+0000
L289,lead289@example.com,Unsubscribed,SE,referral,2023-01-07 22:43:00+0000
L290,lead290@example.com,Active,BR,organic,2023-07-29 05:47:00+0000
L291,lead291@example.com,Active,NG,webform,2024-01-30 08:52:00+0000
L292,lead292@example.com,Active,BR,event,2023-04-04 04:18:00+0000
L293,lead293@example.com,Active,US,event,2023-08-30 01:26:00+0000
L294,lead294@example.com,Active,BR,event,2023-07-09 16:46:00+0000
L295,lead295@example.com,Active,BR,event,2023-02-07 18:12:00+0000
L296,lead296@example.com,Unsubscribed,NG,ads,2023-03-15 14:00:00+0000
L297,lead297@example.com,Active,DE,organic,2023-07-27 09:37:00+0000
L298,lead298@example.com,Unsubscribed,DE,referral,2024-01-14 15:32:00+0000
L299,lead299@example.com,Active,IN,webform,2023-07-23 23:38:00+0000
L300,lead300@example.com,Active,US,event,2023-01-23 15:51:00+0000
L301,lead301@example.com,Unsubscribed,DE,ads,2024-01-24 09:07:00+0000
L302,lead302@example.com,Active,IN,ads,2023-05-03 05:49:00+0000
L303,lead303@example.com,Active,US,event,2023-10-31 06:28:00+0000
L304,lead304@example.com,Active,US,referral,2023-08-30 19:50:00+0000
L305,lead305@example.com,Active,DE,referral,2023-05-28 08:33:00+0000
L306,lead306@example.com,Active,JP,event,2023-03-16 18:20:00+0000
L307,lead307@example.com,Active,GB,organic,2023-07-06 14:15:00+0000
L308,lead308@example.com,Active,IN,organic,2024-01-25 11:26:00+0000
L309,lead309@example.com,Active,GB,webform,2024-01-10 22:39:00+0000
L310,lead310@example.com,Active,SE,event,2023-02-26 06:06:00+0000
L311,lead311@example.com,Active,NG,ads,2023-09-20 22:15:00+0000
L312,lead312@example.com,Unsubscribed,IN,event,2023-08-20 11:23:00+0000
L313,lead313@example.com,Active,BR,ads,2023-01-15 04:11:00+0000
L314,lead314@example.com,Unsubscribed,NG,ads,2024-01-04 09:12:00+0000
L315,lead315@example.com,Unsubscribed,IN,webform,2023-06-08 01:54:00+0000
L316,lead316@example.com,Active,US,ads,2023-01-23 10:04:00+0000
L317,lead317@example.com,Active,IN,ads,2023-11-19 16:38:00+0000
L318,lead318@example.com,Active,IN,ads,2023-02-27 21:15:00+0000
L319,lead319@example.com,Active,US,ads,2023-09-30 13:26:00+0000
L320,lead320@example.com,Active,GB,ads,2023-04-08 16:02:00+0000
L321,lead321@example.com,Active,BR,webform,2023-04-04 12:09:00+0000
L322,lead322@example.com,Active,DE,webform,2023-10-28 20:04:00+0000
L323,lead323@example.com,Active,BR,referral,2023-09-13 01:27:00+0000
L324,lead324@example.com,Active,GB,webform,2023-10-19 12:39:00+0000
L325,lead325@example.com,Unsubscribed,JP,event,2023-07-17 14:09:00+0000
L326,lead326@example.com,Active,DE,webform,2023-01-26 18:09:00+0000
L327,lead327@example.com,Active,GB,ads,2023-08-09 10:54:00+0000
L328,lead328@example.com,Active,IN,organic,2023-01-23 07:50:00+0000
L329,lead329@example.com,Active,BR,webform,2023-10-03 19:29:00+0000
L330,lead330@example.com,Unsubscribed,NG,referral,2023-08-12 22:19:00+0000
L331,lead331@example.com,Unsubscribed,GB,referral,2023-04-14 17:43:00+0000
L332,lead332@example.com,Active,IN,event,2023-06-23 23:03:00+0000
L333,lead333@example.com,Active,NG,organic,2023-06-24 17:55:00+0000
L334,lead334@example.com,Active,BR,webform,2023-03-31 07:50:00+0000
L335,lead335@example.com,Active,SE,event,2023-11-29 09:22:00+0000
L336,lead336@example.com,Active,SE,referral,2023-10-15 07:24:00+0000
L337,lead337@example.com,Unsubscribed,JP,referral,2023-12-05 02:46:00+0000
L338,lead338@example.com,Active,GB,referral,2023-06-23 11:13:00+0000
L339,lead339@example.com,Active,GB,organic,2023-05-06 21:25:00+0000
L340,lead340@example.com,Active,IN,event,2023-05-30 22:22:00+0000
L341,lead341@example.com,Active,NG,event,2023-10-21 16:50:00+0000
L342,lead342@example.com,Active,JP,webform,2023-07-28 20:55:00+0000
L343,lead343@example.com,Unsubscribed,JP,webform,2023-10-10 05:51:00+0000
L344,lead344@example.com,Active,GB,organic,2023-02-23 02:06:00+0000
L345,lead345@example.com,Unsubscribed,GB,webform,2023-03-29 21:30:00+0000
L346,lead346@example.com,Active,IN,referral,2023-01-05 13:17:00+0000
L347,lead347@example.com,Unsubscribed,US,organic,2023-11-18 10:07:00+0000
L348,lead348@example.com,Active,US,event,2023-05-23 17:33:00+0000
L349,lead349@example.com,Active,GB,ads,2023-09-19 10:33:00+0000
L350,lead350@example.com,Unsubscribed,US,event,2023-05-23 20:39:00+0000
L351,lead351@example.com,Active,BR,organic,2023-05-03 21:23:00+0000
L352,lead352@example.com,Active,DE,webform,2023-04-08 11:41:00+0000
L353,lead353@example.com,Unsubscribed,IN,organic,2023-01-03 04:48:00+0000
L354,lead354@example.com,Active,NG,referral,2023-11-02 18:42:00+0000
L355,lead355@example.com,Active,GB,webform,2023-12-05 09:11:00+0000
L356,lead356@example.com,Active,DE,referral,2023-08-05 15:24:00+0000
L357,lead357@example.com,Active,BR,organic,2023-08-10 21:18:00+0000
L358,lead358@example.com,Active,SE,organic,2023-10-28 21:55:00+0000
L359,lead359@example.com,Active,JP,webform,2024-02-04 12:19:00+0000
L360,lead360@example.com,Active,BR,event,2023-06-09 08:10:00+0000
L361,lead361@example.com,Active,GB,organic,2023-02-17 09:55:00+0000
L362,lead362@example.com,Active,US,referral,2023-01-02 09:01:00+0000
L363,lead363@example.com,Unsubscribed,GB,organic,2023-08-22 22:41:00+0000
L364,lead364@example.com,Active,NG,referral,2023-08-19 01:14:00+0000
L365,lead365@example.com,Unsubscribed,IN,referral,2023-08-23 09:06:00+0000
L366,lead366@example.com,Active,BR,event,2023-10-26 08:30:00+0000
L367,lead367@example.com,Active,JP,webform,2024-01-03 01:28:00+0000
L368,lead368@example.com,Active,IN,webform,2023-06-04 02:19:00+0000
L369,lead369@example.com,Unsubscribed,US,organic,2023-11-08 20:54:00+0000
L370,lead370@example.com,Unsubscribed,US,referral,2023-03-22 16:10:00+0000
L371,lead371@example.com,Unsubscribed,IN,ads,2023-04-18 15:02:00+0000
L372,lead372@example.com,Active,JP,organic,2023-12-08 02:27:00+0000
L373,lead373@example.com,Active,SE,event,2023-11-20 09:18:00+0000
L374,lead374@example.com,Active,BR,organic,2023-07-08 03:34:00+0000
L375,lead375@example.com,Active,BR,event,2023-08-20 06:48:00+0000
L376,lead376@example.com,Active,JP,webform,2023-08-22 05:18:00+0000
L377,lead377@example.com,Active,GB,referral,2023-12-03 10:40:00+0000
L378,lead378@example.com,Active,NG,referral,2023-04-16 06:26:00+0000
L379,lead379@example.com,Active,DE,organic,2023-05-20 12:34:00+0000
