id,name,email,source,country,status,created_at
33,Morgan Smith,lead33@example.com,webform,US,MQL,2023-12-04 05:53:00+0000
34,Sasha Rossi,lead34@example.com,event,JP,SQL,2023-07-25 23:54:00+0000
35,Jordan Okafor,lead35@example.com,organic,US,DISQUALIFIED,2023-11-08 11:09:00+0000
36,Morgan Larsson,lead36@example.com,ads,NG,NEW,2023-10-28 02:07:00+0000
37,Rowan Khan,lead37@example.com,ads,US,CUSTOMER,2023-10-30 19:12:00+0000
38,Quinn Khan,lead38@example.com,event,NG,SQL,2023-04-13 00:20:00+0000
39,Avery Okafor,lead39@example.com,event,SE,NEW,2023-01-06 13:34:00+0000
40,Kai Rossi,lead40@example.com,organic,DE,MQL,2024-01-21 22:38:00+0000
41,Sasha Rossi,lead41@example.com,ads,US,DISQUALIFIED,2023-07-20 04:24:00+0000
42,Avery Khan,lead42@example.com,referral,IN,NEW,2023-06-22 18:22:00+0000
43,Morgan Okafor,lead43@example.com,ads,JP,MQL,2023-08-11 20:50:00+0000
44,Devin Khan,lead44@example.com,event,US,MQL,2023-01-08 04:49:00+0000
45,Kai Mori,lead45@example.com,webform,GB,MQL,2023-04-30 03:28:00+0000
46,Noa Garcia,lead46@example.com,organic,SE,MQL,2023-01-18 15:34:00+0000
47,Noa Okafor,lead47@example.com,event,DE,NEW,2023-04-02 11:46:00+0000
48,Quinn Garcia,lead48@example.com,referral,US,NEW,2023-01-18 13:41:00+0000
49,Riley Silva,lead49@example.com,event,IN,NEW,2023-07-12 20:07:00+0000
50,Morgan Khan,lead50@example.com,referral,NG,SQL,2023-12-15 17:41:00+0000
51,Casey Cohen,lead51@example.com,organic,JP,DISQUALIFIED,2023-08-08 11:04:00+0000
52,Harper Rossi,lead52@example.com,organic,NG,CUSTOMER,2023-08-01 10:50:00+0000
53,Sasha Haddad,lead53@example.com,organic,GB,DISQUALIFIED,2023-11-04 06:17:00+0000
54,Sasha Khan,lead54@example.com,organic,IN,MQL,2023-11-01 09:12:00+0000
55,Morgan Patel,lead55@example.com,organic,BR,SQL,2023-08-29 13:15:00+0000
56,Kai Mori,lead56@example.com,ads,IN,MQL,2023-10-06 14:16:00+0000
57,Quinn Rossi,lead57@example.com,ads,IN,MQL,2023-08-25 04:03:00+0000
58,Casey Khan,lead58@example.com,ads,US,SQL,2023-11-12 17:39:00+0000
59,Harper Khan,lead59@example.com,organic,GB,DISQUALIFIED,2023-03-29 12:23:00+0000
60,Quinn Patel,lead60@example.com,ads,JP,MQL,2023-01-03 17:17:00+0000
61,Noa Okafor,lead61@example.com,referral,BR,DISQUALIFIED,2023-05-10 18:28:00+0000
62,Quinn Okafor,lead62@example.com,ads,GB,MQL,2023-11-19 08:42:00+0000
63,Jordan Haddad,lead63@example.com,referral,US,CUSTOMER,2023-02-15 20:33:00+0000
64,Harper Smith,lead64@example.com,organic,SE,CUSTOMER,2023-10-27 06:23:00+0000
65,Quinn Rossi,lead65@example.com,ads,IN,MQL,2023-08-01 06:58:00+0000
66,Harper Rossi,lead66@example.com,organic,GB,DISQUALIFIED,2023-05-12 12:21:00+0000
67,Jordan Cohen,lead67@example.com,organic,NG,MQL,2023-07-23 09:18:00+0000
68,Kai Cohen,lead68@example.com,referral,NG,MQL,2023-09-13 04:48:00+0000
69,Kai Cohen,lead69@example.com,referral,US,NEW,2023-11-02 03:43:00+0000
70,Morgan Mori,lead70@example.com,referral,JP,SQL,2023-11-12 22:02:00+0000
71,Rowan Larsson,lead71@example.com,organic,DE,SQL,2023-12-17 00:25:00+0000
72,Casey Okafor,lead72@example.com,organic,JP,DISQUALIFIED,2023-10-12 16:23:00+0000
73,Devin Haddad,lead73@example.com,referral,GB,DISQUALIFIED,2023-08-29 12:21:00+0000
74,Kai Mori,lead74@example.com,webform,GB,DISQUALIFIED,2023-08-30 16:52:00+0000
75,Sasha Mori,lead75@example.com,organic,US,CUSTOMER,2023-03-10 13:13:00+0000
76,Riley Nguyen,lead76@example.com,event,NG,CUSTOMER,2023-04-11 11:15:00+0000
77,Morgan Haddad,lead77@example.com,event,NG,NEW,2023-11-27 09:32:00+0000
78,Quinn Mori,lead78@example.com,ads,JP,DISQUALIFIED,2023-07-05 23:51:00+0000
79,Avery Silva,lead79@example.com,event,SE,SQL,2023-01-21 18:42:00+0000
80,Sasha Khan,lead80@example.com,webform,SE,NEW,2023-08-04 23:16:00+0000
81,Noa Mori,lead81@example.com,event,DE,DISQUALIFIED,2023-10-07 07:41:00+0000
82,Kai Okafor,lead82@example.com,referral,IN,DISQUALIFIED,2024-01-22 10:22:00+0000
83,Riley Garcia,lead83@example.com,webform,NG,CUSTOMER,2023-07-15 03:56:00+0000
84,Kai Mori,lead84@example.com,referral,SE,DISQUALIFIED,2023-11-25 23:59:00+0000
85,Casey Rossi,lead85@example.com,referral,DE,MQL,2023-09-09 01:51:00+0000
86,Devin Silva,lead86@example.com,event,GB,CUSTOMER,2023-07-21 02:25:00+0000
87,Kai Larsson,lead87@example.com,event,IN,CUSTOMER,2023-04-20 09:31:00+0000
88,Avery Garcia,lead88@example.com,referral,SE,SQL,2024-02-01 08:24:00+0000
89,Jordan Haddad,lead89@example.com,ads,US,DISQUALIFIED,2023-07-23 05:47:00+0000
90,Casey Haddad,lead90@example.com,webform,DE,SQL,2023-09-05 09:17:00+0000
91,Riley Mori,lead91@example.com,webform,NG,MQL,2023-01-08 11:52:00+0000
92,Morgan Haddad,lead92@example.com,webform,BR,DISQUALIFIED,2023-07-17 03:04:00+0000
93,Rowan Cohen,lead93@example.com,referral,BR,MQL,2023-04-22 15:42:00+0000
94,Harper Nguyen,lead94@example.com,webform,IN,NEW,2024-02-02 12:32:00+0000
95,Noa Khan,lead95@example.com,referral,GB,NEW,2023-11-28 02:34:00+0000
96,Kai Nguyen,lead96@example.com,referral,JP,DISQUALIFIED,2023-12-26 19:26:00+0000
97,Quinn Rossi,lead97@example.com,ads,JP,MQL,2023-03-07 14:44:00+0000
98,Harper Nguyen,lead98@example.com,organic,BR,SQL,2023-07-21 11:08:00+0000
99,Devin Nguyen,lead99@example.com,referral,NG,MQL,2023-08-20 14:36:00+0000
100,Rowan Khan,lead100@example.com,webform,GB,MQL,2024-01-07 01:55:00+0000
101,Avery Garcia,lead101@example.com,organic,IN,NEW,2023-04-18 01:10:00+0000
102,Rowan Smith,lead102@example.com,ads,JP,SQL,2023-12-24 09:07:00+0000
103,Casey Nguyen,lead103@example.com,event,BR,MQL,2023-12-04 12:55:00+0000
104,Jordan Cohen,lead104@example.com,referral,IN,DISQUALIFIED,2023-11-16 06:03:00+0000
105,Riley Rossi,lead105@example.com,ads,JP,NEW,2023-05-08 04:23:00+0000
106,Noa Silva,lead106@example.com,referral,DE,SQL,2023-05-23 16:14:00+0000
107,Casey Rossi,lead107@example.com,webform,IN,MQL,2023-05-21 10:14:00+0000
108,Noa Okafor,lead108@example.com,event,SE,DISQUALIFIED,2023-09-20 16:29:00+0000
109,Sasha Cohen,lead109@example.com,webform,NG,NEW,2023-06-16 09:50:00+0000
110,Noa Haddad,lead110@example.com,webform,BR,MQL,2023-09-12 10:56:00+0000
111,Casey Mori,lead111@example.com,referral,IN,DISQUALIFIED,2023-10-12 03:47:00+0000
112,Devin Silva,lead112@example.com,organic,DE,NEW,2023-10-26 15:54:00+0000
113,Noa Nguyen,lead113@example.com,organic,JP,MQL,2023-05-03 10:46:00+0000
114,Jordan Silva,lead114@example.com,event,IN,NEW,2023-07-23 11:23:00+0000
115,Avery Silva,lead115@example.com,ads,DE,SQL,2023-01-26 23:57:00+0000
116,Sasha Garcia,lead116@example.com,webform,DE,DISQUALIFIED,2023-04-22 12:57:00+0000
117,Avery Mori,lead117@example.com,referral,IN,NEW,2023-11-27 21:03:00+0000
118,Jordan Larsson,lead118@example.com,referral,GB,MQL,2023-11-24 04:13:00+0000
119,Sasha Haddad,lead119@example.com,event,JP,NEW,2023-10-22 07:59:00+0000
120,Avery Smith,lead120@example.com,ads,NG,MQL,2023-10-05 06:38:00+0000
121,Devin Rossi,lead121@example.com,event,SE,DISQUALIFIED,2023-11-15 07:43:00+0000
122,Kai Okafor,lead122@example.com,referral,GB,CUSTOMER,2023-09-22 11:20:00+0000
123,Avery Silva,lead123@example.com,webform,US,SQL,2023-12-08 23:53:00+0000
124,Morgan Khan,lead124@example.com,event,SE,MQL,2023-10-10 19:08:00+0000
125,Rowan Smith,lead125@example.com,referral,JP,MQL,2023-10-26 04:11:00+0000
126,Avery Silva,lead126@example.com,event,IN,CUSTOMER,2023-08-23 16:07:00+0000
127,Rowan Garcia,lead127@example.com,organic,BR,CUSTOMER,2023-01-27 23:37:00+0000
128,Casey Nguyen,lead128@example.com,organic,DE,NEW,2024-01-23 15:02:00+0000
129,Morgan Khan,lead129@example.com,referral,SE,CUSTOMER,2023-11-19 19:39:00+0000
130,Rowan Mori,lead130@example.com,webform,US,NEW,2023-11-07 17:43:00+0000
131,Devin Smith,lead131@example.com,webform,NG,NEW,2023-01-18 09:04:00+0000
132,Sasha Mori,lead132@example.com,organic,NG,CUSTOMER,2023-09-28 21:23:00+0000
133,Rowan Khan,lead133@example.com,referral,JP,MQL,2023-03-25 06:47:00+0000
134,Quinn Garcia,lead134@example.com,event,SE,DISQUALIFIED,2023-04-23 12:58:00+0000
135,Rowan Garcia,lead135@example.com,event,SE,MQL,2023-02-02 04:24:00+0000
136,Quinn Cohen,lead136@example.com,event,SE,DISQUALIFIED,2023-06-25 06:48:00+0000
137,Riley Silva,lead137@example.com,webform,SE,CUSTOMER,2023-06-01 05:21:00+0000
138,Sasha Silva,lead138@example.com,organic,NG,SQL,2023-05-01 01:57:00+0000
139,Harper Khan,lead139@example.com,referral,DE,CUSTOMER,2023-06-18 06:14:00+0000
140,Harper Silva,lead140@example.com,webform,BR,NEW,2023-04-05 11:00:00+0000
141,Rowan Haddad,lead141@example.com,event,SE,DISQUALIFIED,2023-11-13 12:55:00+0000
142,Rowan Cohen,lead142@example.com,organic,DE,DISQUALIFIED,2023-07-12 00:21:00+0000
143,Morgan Larsson,lead143@example.com,ads,DE,MQL,2023-03-15 15:08:00+0000
144,Casey Mori,lead144@example.com,ads,US,NEW,2024-01-24 13:47:00+0000
145,Riley Garcia,lead145@example.com,event,GB,MQL,2023-12-19 13:52:00+0000
146,Avery Khan,lead146@example.com,webform,IN,NEW,2024-01-09 22:59:00+0000
147,Harper Silva,lead147@example.com,referral,NG,MQL,2023-12-20 15:41:00+0000
148,Harper Patel,lead148@example.com,event,IN,DISQUALIFIED,2023-02-16 11:23:00+0000
149,Harper Okafor,lead149@example.com,event,SE,DISQUALIFIED,2024-01-07 18:39:00+0000
150,Jordan Patel,lead150@example.com,ads,IN,CUSTOMER,2023-07-03 15:36:00+0000
151,Casey Silva,lead151@example.com,webform,IN,DISQUALIFIED,2023-12-10 03:32:00+0000
152,Jordan Garcia,lead152@example.com,organic,US,CUSTOMER,2023-07-25 22:49:00+0000
153,Noa Khan,lead153@example.com,webform,BR,SQL,2023-12-30 05:53:00+0000
154,Harper Rossi,lead154@example.com,event,GB,CUSTOMER,2023-11-25 16:35:00+0000
155,Kai Smith,lead155@example.com,organic,IN,NEW,2024-01-23 19:38:00+0000
156,Morgan Patel,lead156@example.com,ads,IN,SQL,2023-08-16 04:28:00+0000
157,Harper Silva,lead157@example.com,ads,IN,NEW,2023-12-11 11:52:00+0000
158,Noa Patel,lead158@example.com,referral,BR,NEW,2024-01-18 10:30:00+0000
159,Kai Smith,lead159@example.com,organic,DE,NEW,2023-09-28 15:53:00+0000
160,Quinn Rossi,lead160@example.com,referral,DE,SQL,2023-10-03 14:25:00+0000
161,Rowan Rossi,lead161@example.com,webform,SE,CUSTOMER,2023-04-03 17:57:00+0000
162,Sasha Patel,lead162@example.com,webform,GB,CUSTOMER,2023-04-22 08:43:00+0000
163,Riley Nguyen,lead163@example.com,organic,SE,NEW,2023-04-01 06:06:00+0000
164,Harper Okafor,lead164@example.com,organic,NG,DISQUALIFIED,2024-01-25 05:23:00+0000
165,Jordan Rossi,lead165@example.com,referral,SE,MQL,2023-08-20 00:40:00+0000
166,Noa Cohen,lead166@example.com,organic,SE,DISQUALIFIED,2023-04-29 08:17:00+0000
167,Jordan Cohen,lead167@example.com,referral,US,NEW,2023-08-19 10:47:00+0000
168,Noa Nguyen,lead168@example.com,referral,SE,NEW,2023-04-21 20:18:00+0000
169,Noa Silva,lead169@example.com,ads,IN,SQL,2023-11-29 22:48:00+0000
170,Harper Patel,lead170@example.com,referral,SE,NEW,2023-11-02 11:16:00+0000
171,Casey Rossi,lead171@example.com,event,US,CUSTOMER,2023-12-15 22:38:00+0000
172,Morgan Khan,lead172@example.com,referral,BR,SQL,2023-11-27 22:21:00+0000
173,Avery Rossi,lead173@example.com,ads,GB,NEW,2024-01-01 23:08:00+0000
174,Quinn Larsson,lead174@example.com,organic,DE,NEW,2023-08-09 17:58:00+0000
175,Noa Okafor,lead175@example.com,referral,IN,DISQUALIFIED,2023-10-01 13:14:00+0000
176,Morgan Larsson,lead176@example.com,organic,NG,DISQUALIFIED,2024-01-08 01:29:00+0000
177,Kai Mori,lead177@example.com,ads,NG,CUSTOMER,2023-07-28 20:58:00+0000
178,Morgan Garcia,lead178@example.com,ads,JP,SQL,2023-12-24 00:35:00+0000
179,Quinn Patel,lead179@example.com,referral,BR,DISQUALIFIED,2023-09-24 12:15:00+0000
180,Rowan Silva,lead180@example.com,event,US,MQL,2023-05-10 14:43:00+0000
181,Sasha Khan,lead181@example.com,ads,JP,SQL,2024-01-10 10:01:00+0000
182,Jordan Nguyen,lead182@example.com,webform,SE,SQL,2024-01-25 04:47:00+0000
183,Morgan Larsson,lead183@example.com,webform,JP,MQL,2023-05-10 20:08:00+0000
184,Quinn Cohen,lead184@example.com,webform,GB,SQL,2023-01-22 13:17:00+0000
185,Harper Khan,lead185@example.com,ads,NG,CUSTOMER,2023-04-26 20:26:00+0000
186,Casey Garcia,lead186@example.com,referral,DE,MQL,2023-04-04 05:40:00+0000
187,Avery Silva,lead187@example.com,referral,GB,CUSTOMER,2023-12-19 05:07:00+0000
188,Devin Garcia,lead188@example.com,event,DE,MQL,2024-01-24 16:38:00+0000
189,Noa Larsson,lead189@example.com,ads,SE,MQL,2023-11-24 22:48:00+0000
190,Devin Patel,lead190@example.com,referral,GB,DISQUALIFIED,2023-02-22 13:58:00+0000
191,Harper Silva,lead191@example.com,organic,NG,MQL,2023-04-16 06:23:00+0000
192,Noa Silva,lead192@example.com,webform,JP,MQL,2023-04-12 08:56:00+0000
193,Avery Larsson,lead193@example.com,organic,IN,MQL,2023-03-01 19:25:00+0000
194,Kai Cohen,lead194@example.com,ads,JP,MQL,2023-02-17 13:19:00+0000
195,Kai Larsson,lead195@example.com,webform,NG,NEW,2023-06-29 08:22:00+0000
196,Morgan Smith,lead196@example.com,referral,JP,SQL,2023-04-19 05:01:00+0000
197,Harper Smith,lead197@example.com,event,IN,MQL,2023-03-23 10:43:00+0000
198,Casey Khan,lead198@example.com,event,NG,MQL,2023-09-06 11:53:00+0000
199,Jordan Smith,lead199@example.com,ads,NG,NEW,2023-12-20 15:57:00+0000
200,Devin Patel,lead200@example.com,webform,US,MQL,2023-12-07 07:09:00+0000
201,Quinn Khan,lead201@example.com,referral,GB,CUSTOMER,2023-05-10 22:10:00+0000
202,Noa Rossi,lead202@example.com,organic,SE,DISQUALIFIED,2023-02-20 03:43:00+0000
203,Casey Haddad,lead203@example.com,event,NG,MQL,2023-08-23 10:21:00+0000
204,Morgan Silva,lead204@example.com,organic,US,DISQUALIFIED,2023-09-11 20:39:00+0000
205,Noa Garcia,lead205@example.com,referral,SE,MQL,2023-04-13 11:04:00+0000
206,Rowan Mori,lead206@example.com,event,JP,DISQUALIFIED,2023-02-04 11:29:00+0000
207,Jordan Smith,lead207@example.com,referral,JP,SQL,2023-05-17 12:56:00+0000
208,Kai Smith,lead208@example.com,referral,US,CUSTOMER,2023-05-31 17:16:00+0000
209,Quinn Khan,lead209@example.com,webform,GB,CUSTOMER,2023-07-29 09:00:00+0000
210,Kai Mori,lead210@example.com,event,GB,MQL,2024-01-15 16:09:00+0000
211,Harper Silva,lead211@example.com,referral,BR,DISQUALIFIED,2023-02-20 18:52:00+0000
212,Rowan Garcia,lead212@example.com,event,JP,SQL,2023-09-20 12:11:00+0000
213,Noa Rossi,lead213@example.com,referral,NG,CUSTOMER,2023-08-10 10:12:00+0000
214,Casey Mori,lead214@example.com,ads,US,SQL,2023-07-18 07:10:00+0000
215,Devin Khan,lead215@example.com,ads,JP,CUSTOMER,2023-09-21 21:31:00+0000
216,Devin Cohen,lead216@example.com,webform,JP,NEW,2023-05-27 03:19:00+0000
217,Devin Smith,lead217@example.com,referral,BR,DISQUALIFIED,2023-06-10 04:23:00+0000
218,Rowan Haddad,lead218@example.com,ads,IN,MQL,2023-05-03 22:10:00+0000
219,Harper Patel,lead219@example.com,organic,DE,NEW,2023-12-26 08:25:00+0000
220,Rowan Haddad,lead220@example.com,webform,US,DISQUALIFIED,2023-02-05 21:57:00+0000
221,Noa Cohen,lead221@example.com,webform,NG,SQL,2023-04-25 17:47:00+0000
222,Harper Khan,lead222@example.com,event,DE,MQL,2023-09-27 04:27:00+0000
223,Devin Silva,lead223@example.com,webform,US,MQL,2023-05-24 00:50:00+0000
224,Riley Cohen,lead224@example.com,webform,BR,NEW,2023-02-12 21:05:00+0000
225,Jordan Patel,lead225@example.com,referral,JP,DISQUALIFIED,2023-10-29 11:41:00+0000
226,Rowan Patel,lead226@example.com,organic,GB,DISQUALIFIED,2023-08-03 23:27:00+0000
227,Casey Mori,lead227@example.com,event,BR,SQL,2023-05-27 03:33:00+0000
228,Harper Okafor,lead228@example.com,event,GB,SQL,2023-01-20 02:01:00+0000
229,Morgan Smith,lead229@example.com,ads,JP,MQL,2023-02-25 06:22:00+0000
230,Devin Smith,lead230@example.com,referral,IN,DISQUALIFIED,2023-04-07 00:00:00+0000
231,Jordan Silva,lead231@example.com,organic,NG,SQL,2023-01-26 04:55:00+0000
232,Casey Cohen,lead232@example.com,referral,US,MQL,2023-07-24 01:53:00+0000
233,Jordan Garcia,lead233@example.com,referral,IN,MQL,2023-04-24 01:11:00+0000
234,Casey Mori,lead234@example.com,event,US,DISQUALIFIED,2023-05-28 07:19:00+0000
235,Harper Okafor,lead235@example.com,organic,BR,DISQUALIFIED,2023-05-26 11:42:00+0000
236,Riley Mori,lead236@example.com,referral,IN,NEW,2023-08-25 05:05:00+0000
237,Sasha Cohen,lead237@example.com,event,BR,MQL,2023-02-06 12:35:00+0000
238,Quinn Smith,lead238@example.com,organic,JP,DISQUALIFIED,2023-05-17 08:06:00+0000
239,Rowan Silva,lead239@example.com,referral,GB,NEW,2023-09-17 09:09:00+0000
240,Noa Khan,lead240@example.com,organic,GB,MQL,2023-12-04 01:52:00+0000
241,Morgan Smith,lead241@example.com,organic,IN,CUSTOMER,2023-03-06 01:17:00+0000
242,Harper Haddad,lead242@example.com,organic,JP,DISQUALIFIED,2023-12-04 00:48:00+0000
243,Rowan Mori,lead243@example.com,event,JP,CUSTOMER,2023-07-05 00:51:00+0000
244,Riley Patel,lead244@example.com,organic,US,MQL,2024-02-05 12:45:00+0000
245,Rowan Mori,lead245@example.com,event,US,NEW,2023-01-23 13:47:00+0000
246,Morgan Mori,lead246@example.com,referral,GB,SQL,2023-03-18 15:19:00+0000
247,Jordan Patel,lead247@example.com,event,DE,MQL,2023-09-14 20:57:00+0000
248,Quinn Silva,lead248@example.com,referral,IN,NEW,2023-02-01 09:42:00+0000
249,Riley Mori,lead249@example.com,ads,BR,DISQUALIFIED,2023-08-04 20:20:00+0000
250,Devin Mori,lead250@example.com,referral,SE,NEW,2023-03-10 10:29:00+0000
251,Avery Haddad,lead251@example.com,event,SE,SQL,2023-11-23 14:33:00+0000
252,Sasha Mori,lead252@example.com,webform,DE,SQL,2023-03-14 16:45:00+0000
253,Jordan Nguyen,lead253@example.com,organic,IN,MQL,2023-12-01 22:14:00+0000
254,Harper Garcia,lead254@example.com,referral,SE,MQL,2023-01-13 23:16:00+0000
255,Devin Mori,lead255@example.com,referral,JP,CUSTOMER,2023-03-03 06:22:00+0000
256,Kai Mori,lead256@example.com,referral,BR,SQL,2023-08-01 10:51:00+0000
257,Morgan Silva,lead257@example.com,referral,IN,MQL,2023-06-16 15:52:00+0000
258,Jordan Cohen,lead258@example.com,ads,GB,MQL,2023-06-13 23:31:00+0000
259,Harper Smith,lead259@example.com,webform,US,SQL,2024-01-24 03:21:00+0000
260,Riley Silva,lead260@example.com,event,BR,MQL,2024-02-01 14:43:00+0000
261,Rowan Mori,lead261@example.com,referral,NG,NEW,2023-08-16 17:23:00+0000
262,Sasha Okafor,lead262@example.com,event,SE,MQL,2023-09-07 14:54:00+0000
263,Casey Rossi,lead263@example.com,referral,DE,NEW,2023-12-02 09:35:00+0000
264,Jordan Okafor,lead264@example.com,webform,DE,CUSTOMER,2024-01-20 12:31:00+0000
265,Rowan Mori,lead265@example.com,organic,GB,MQL,2023-10-15 03:22:00+0000
266,Rowan Garcia,lead266@example.com,organic,US,NEW,2023-12-09 01:38:00+0000
267,Avery Mori,lead267@example.com,event,DE,DISQUALIFIED,2023-11-26 10:40:00+0000
268,Sasha Mori,lead268@example.com,event,US,NEW,2023-07-29 00:35:00+0000
269,Kai Nguyen,lead269@example.com,webform,BR,MQL,2023-10-18 01:27:00+0000
270,Riley Cohen,lead270@example.com,event,DE,CUSTOMER,2023-10-10 04:28:00+0000
271,Rowan Cohen,lead271@example.com,event,BR,SQL,2023-09-14 20:53:00+0000
272,Casey Smith,lead272@example.com,event,DE,NEW,2023-05-12 16:31:00+0000
273,Noa Silva,lead273@example.com,webform,GB,CUSTOMER,2023-01-19 08:07:00+0000
274,Kai Cohen,lead274@example.com,ads,SE,NEW,2023-12-21 10:31:00+0000
275,Harper Silva,lead275@example.com,webform,IN,NEW,2023-04-06 10:51:00+0000
276,Rowan Nguyen,lead276@example.com,referral,IN,DISQUALIFIED,2023-10-28 06:51:00+0000
277,Riley Cohen,lead277@example.com,referral,US,NEW,2023-08-25 08:50:00+0000
278,Quinn Haddad,lead278@example.com,webform,IN,NEW,2023-07-25 18:51:00+0000
279,Avery Silva,lead279@example.com,webform,NG,DISQUALIFIED,2024-01-08 21:09:00+0000
280,Jordan Silva,lead280@example.com,organic,IN,MQL,2023-01-06 13:34:00+0000
281,Avery Garcia,lead281@example.com,referral,NG,NEW,2023-10-10 12:46:00+0000
282,Avery Okafor,lead282@example.com,referral,BR,NEW,2023-12-12 22:52:00+0000
283,Kai Nguyen,lead283@example.com,webform,NG,CUSTOMER,2023-01-21 12:28:00+0000
284,Harper Mori,lead284@example.com,webform,IN,CUSTOMER,2024-02-05 22:21:00+0000
285,Casey Okafor,lead285@example.com,referral,BR,CUSTOMER,2023-03-16 22:33:00+0000
286,Avery Silva,lead286@example.com,referral,SE,DISQUALIFIED,2023-12-04 17:39:00+0000
287,Kai Haddad,lead287@example.com,organic,SE,CUSTOMER,2023-07-28 12:15:00+0000
288,Quinn Nguyen,lead288@example.com,event,NG,MQL,2023-02-20 16:54:00+0000
289,Devin Haddad,lead289@example.com,referral,SE,DISQUALIFIED,2023-01-07 22:43:00+0000
290,Noa Khan,lead290@example.com,organic,BR,CUSTOMER,2023-07-29 05:47:00+0000
291,Quinn Okafor,lead291@example.com,webform,NG,MQL,2024-01-30 08:52:00+0000
292,Riley Mori,lead292@example.com,event,BR,SQL,2023-04-04 04:18:00+0000
293,Jordan Haddad,lead293@example.com,event,US,CUSTOMER,2023-08-30 01:26:00+0000
294,Sasha Smith,lead294@example.com,event,BR,NEW,2023-07-09 16:46:00+0000
295,Avery Patel,lead295@example.com,event,BR,NEW,2023-02-07 18:12:00+0000
296,Devin Garcia,lead296@example.com,ads,NG,DISQUALIFIED,2023-03-15 14:00:00+0000
297,Morgan Khan,lead297@example.com,organic,DE,MQL,2023-07-27 09:37:00+0000
298,Rowan Nguyen,lead298@example.com,referral,DE,DISQUALIFIED,2024-01-14 15:32:00+0000
299,Kai Garcia,lead299@example.com,webform,IN,CUSTOMER,2023-07-23 23:38:00+0000
300,Jordan Cohen,lead300@example.com,event,US,MQL,2023-01-23 15:51:00+0000
301,Jordan Larsson,lead301@example.com,ads,DE,DISQUALIFIED,2024-01-24 09:07:00+0000
302,Jordan Patel,lead302@example.com,ads,IN,MQL,2023-05-03 05:49:00+0000
303,Rowan Rossi,lead303@example.com,event,US,NEW,2023-10-31 06:28:00+0000
304,Casey Rossi,lead304@example.com,referral,US,SQL,2023-08-30 19:50:00+0000
305,Jordan Nguyen,lead305@example.com,referral,DE,SQL,2023-05-28 08:33:00+0000
306,Devin Okafor,lead306@example.com,event,JP,CUSTOMER,2023-03-16 18:20:00+0000
